# taxon distribution range models
# data save on : 2025-03-13T19:27:35+02:00
taxon	type	age	equator	pixel	density
Rhododendron maius	points	0	360	22568	1.000000
Rhododendron maius	points	0	360	22570	1.000000
Rhododendron maius	points	0	360	22930	1.000000
Rhododendron maius	points	0	360	24359	1.000000
Rhododendron malayanum	points	0	360	18572	1.000000
Rhododendron malayanum	points	0	360	18573	1.000000
Rhododendron malayanum	points	0	360	18588	1.000000
Rhododendron malayanum	points	0	360	18930	1.000000
Rhododendron malayanum	points	0	360	18931	1.000000
Rhododendron malayanum	points	0	360	18932	1.000000
Rhododendron malayanum	points	0	360	18945	1.000000
Rhododendron malayanum	points	0	360	18946	1.000000
Rhododendron malayanum	points	0	360	19287	1.000000
Rhododendron malayanum	points	0	360	19291	1.000000
Rhododendron malayanum	points	0	360	19292	1.000000
Rhododendron malayanum	points	0	360	19304	1.000000
Rhododendron malayanum	points	0	360	19305	1.000000
Rhododendron malayanum	points	0	360	19648	1.000000
Rhododendron malayanum	points	0	360	19650	1.000000
Rhododendron malayanum	points	0	360	19651	1.000000
Rhododendron malayanum	points	0	360	19662	1.000000
Rhododendron malayanum	points	0	360	19663	1.000000
Rhododendron malayanum	points	0	360	20019	1.000000
Rhododendron malayanum	points	0	360	20022	1.000000
Rhododendron malayanum	points	0	360	20023	1.000000
Rhododendron malayanum	points	0	360	20025	1.000000
Rhododendron malayanum	points	0	360	20378	1.000000
Rhododendron malayanum	points	0	360	20380	1.000000
Rhododendron malayanum	points	0	360	20389	1.000000
Rhododendron malayanum	points	0	360	20729	1.000000
Rhododendron malayanum	points	0	360	20730	1.000000
Rhododendron malayanum	points	0	360	20743	1.000000
Rhododendron malayanum	points	0	360	21089	1.000000
Rhododendron malayanum	points	0	360	21098	1.000000
Rhododendron malayanum	points	0	360	21109	1.000000
Rhododendron malayanum	points	0	360	21450	1.000000
Rhododendron malayanum	points	0	360	21813	1.000000
Rhododendron malayanum	points	0	360	21828	1.000000
Rhododendron malayanum	points	0	360	21837	1.000000
Rhododendron malayanum	points	0	360	21838	1.000000
Rhododendron malayanum	points	0	360	22531	1.000000
Rhododendron malayanum	points	0	360	22892	1.000000
Rhododendron malayanum	points	0	360	22893	1.000000
Rhododendron malayanum	points	0	360	23249	1.000000
Rhododendron malayanum	points	0	360	23250	1.000000
Rhododendron meliphagidum	points	0	360	21838	1.000000
Rhododendron multinervium	points	0	360	22568	1.000000
Rhododendron multinervium	points	0	360	22569	1.000000
Rhododendron multinervium	points	0	360	22571	1.000000
Rhododendron multinervium	points	0	360	22927	1.000000
Rhododendron multinervium	points	0	360	22929	1.000000
Rhododendron multinervium	points	0	360	22930	1.000000
Rhododendron multinervium	points	0	360	22931	1.000000
Rhododendron multinervium	points	0	360	23287	1.000000
Rhododendron nanophyton	points	0	360	21828	1.000000
Rhododendron nanophyton	points	0	360	22188	1.000000
Rhododendron polyanthemum	points	0	360	18588	1.000000
Rhododendron pudorinum	points	0	360	21828	1.000000
Rhododendron pudorinum	points	0	360	22188	1.000000
Rhododendron quadrasianum	points	0	360	14713	1.000000
Rhododendron quadrasianum	points	0	360	15059	1.000000
Rhododendron quadrasianum	points	0	360	15406	1.000000
Rhododendron quadrasianum	points	0	360	15756	1.000000
Rhododendron quadrasianum	points	0	360	15757	1.000000
Rhododendron quadrasianum	points	0	360	16106	1.000000
Rhododendron quadrasianum	points	0	360	16462	1.000000
Rhododendron radians	points	0	360	20392	1.000000
Rhododendron radians	points	0	360	20393	1.000000
Rhododendron radians	points	0	360	21109	1.000000
Rhododendron radians	points	0	360	21828	1.000000
Rhododendron rarilepidotum	points	0	360	18927	1.000000
Rhododendron rarilepidotum	points	0	360	19286	1.000000
Rhododendron rarilepidotum	points	0	360	19287	1.000000
Rhododendron rarilepidotum	points	0	360	19647	1.000000
Rhododendron rarum	points	0	360	22568	1.000000
Rhododendron rarum	points	0	360	22570	1.000000
Rhododendron rarum	points	0	360	22572	1.000000
Rhododendron rarum	points	0	360	22928	1.000000
Rhododendron rarum	points	0	360	22929	1.000000
Rhododendron rarum	points	0	360	22930	1.000000
Rhododendron retusum	points	0	360	19287	1.000000
Rhododendron retusum	points	0	360	19647	1.000000
Rhododendron retusum	points	0	360	20729	1.000000
Rhododendron retusum	points	0	360	20730	1.000000
Rhododendron retusum	points	0	360	21089	1.000000
Rhododendron retusum	points	0	360	21450	1.000000
Rhododendron retusum	points	0	360	22171	1.000000
Rhododendron retusum	points	0	360	22531	1.000000
Rhododendron retusum	points	0	360	22891	1.000000
Rhododendron retusum	points	0	360	22893	1.000000
Rhododendron retusum	points	0	360	23249	1.000000
Rhododendron retusum	points	0	360	23250	1.000000
Rhododendron retusum	points	0	360	23611	1.000000
Rhododendron rhodopus	points	0	360	21109	1.000000
Rhododendron rhodopus	points	0	360	21828	1.000000
Rhododendron robinsonii	points	0	360	18572	1.000000
Rhododendron robinsonii	points	0	360	18930	1.000000
Rhododendron robinsonii	points	0	360	18931	1.000000
Rhododendron robinsonii	points	0	360	18932	1.000000
Rhododendron robinsonii	points	0	360	19291	1.000000
Rhododendron robinsonii	points	0	360	19650	1.000000
Rhododendron rubineiflorum	points	0	360	22568	1.000000
Rhododendron rubineiflorum	points	0	360	22570	1.000000
Rhododendron rubineiflorum	points	0	360	22928	1.000000
Rhododendron rubineiflorum	points	0	360	22929	1.000000
Rhododendron rubineiflorum	points	0	360	22930	1.000000
Rhododendron rubineiflorum	points	0	360	22931	1.000000
Rhododendron rubineiflorum	points	0	360	23285	1.000000
Rhododendron rubineiflorum	points	0	360	23289	1.000000
Rhododendron ruttenii	points	0	360	21838	1.000000
Rhododendron santapaui	points	0	360	11029	1.000000
Rhododendron sarcodes	points	0	360	18238	1.000000
Rhododendron saxifragoides	points	0	360	22205	1.000000
Rhododendron saxifragoides	points	0	360	22207	1.000000
Rhododendron saxifragoides	points	0	360	22208	1.000000
Rhododendron saxifragoides	points	0	360	22566	1.000000
Rhododendron saxifragoides	points	0	360	22568	1.000000
Rhododendron saxifragoides	points	0	360	22929	1.000000
Rhododendron solitarium	points	0	360	23288	1.000000
Rhododendron solitarium	points	0	360	23645	1.000000
Rhododendron spondylophyllum	points	0	360	24001	1.000000
Rhododendron sumatranum	points	0	360	19286	1.000000
Rhododendron sumatranum	points	0	360	19287	1.000000
Rhododendron sumatranum	points	0	360	19648	1.000000
Rhododendron superbum	points	0	360	22221	1.000000
Rhododendron superbum	points	0	360	22568	1.000000
Rhododendron superbum	points	0	360	22570	1.000000
Rhododendron superbum	points	0	360	22571	1.000000
Rhododendron superbum	points	0	360	22928	1.000000
Rhododendron superbum	points	0	360	22929	1.000000
Rhododendron superbum	points	0	360	22930	1.000000
Rhododendron superbum	points	0	360	22931	1.000000
Rhododendron superbum	points	0	360	22932	1.000000
Rhododendron superbum	points	0	360	22936	1.000000
Rhododendron superbum	points	0	360	23288	1.000000
Rhododendron superbum	points	0	360	23645	1.000000
Rhododendron taxifolium	points	0	360	14713	1.000000
Rhododendron tuba	points	0	360	24002	1.000000
Rhododendron tuba	points	0	360	24359	1.000000
Rhododendron vaccinioides	points	0	360	11024	1.000000
Rhododendron vaccinioides	points	0	360	11033	1.000000
Rhododendron vaccinioides	points	0	360	11343	1.000000
Rhododendron vaccinioides	points	0	360	11344	1.000000
Rhododendron vaccinioides	points	0	360	11347	1.000000
Rhododendron vaccinioides	points	0	360	11672	1.000000
Rhododendron vanvuurenii	points	0	360	21109	1.000000
Rhododendron vanvuurenii	points	0	360	21469	1.000000
Rhododendron vanvuurenii	points	0	360	21828	1.000000
Rhododendron vanvuurenii	points	0	360	22188	1.000000
Rhododendron williamsii	points	0	360	14713	1.000000
Rhododendron williamsii	points	0	360	15059	1.000000
Rhododendron zoelleri	points	0	360	21121	1.000000
Rhododendron zoelleri	points	0	360	21122	1.000000
Rhododendron zoelleri	points	0	360	21489	1.000000
Rhododendron zoelleri	points	0	360	21851	1.000000
Rhododendron zoelleri	points	0	360	22204	1.000000
Rhododendron zoelleri	points	0	360	22208	1.000000
Rhododendron zoelleri	points	0	360	22568	1.000000
Rhododendron zoelleri	points	0	360	22569	1.000000
Rhododendron zoelleri	points	0	360	22570	1.000000
Rhododendron zoelleri	points	0	360	22928	1.000000
Rhododendron zoelleri	points	0	360	22929	1.000000
Rhododendron zoelleri	points	0	360	22930	1.000000
Rhododendron zoelleri	points	0	360	22931	1.000000
Rhododendron zoelleri	points	0	360	22932	1.000000
Rhododendron zoelleri	points	0	360	23288	1.000000
Rhododendron zoelleri	points	0	360	23289	1.000000
Rhododendron zoelleri	points	0	360	24001	1.000000
Rhododendron zoelleri	points	0	360	24002	1.000000
Rhododendron zoelleri	points	0	360	24003	1.000000
Rhododendron zollingeri	points	0	360	14713	1.000000
Rhododendron zollingeri	points	0	360	21109	1.000000
Rhododendron zollingeri	points	0	360	21828	1.000000
Rhododendron zollingeri	points	0	360	22188	1.000000
Rhododendron zollingeri	points	0	360	22547	1.000000
Rhododendron zollingeri	points	0	360	23252	1.000000
Rhododendron zollingeri	points	0	360	23610	1.000000
Rhododendron zollingeri	points	0	360	23612	1.000000
Rhododendron zollingeri	points	0	360	23614	1.000000
Rhododendron zollingeri	points	0	360	23615	1.000000
Rhododendron zollingeri	points	0	360	23619	1.000000
