pixel	lat	lon
626	76.000000	47.586207
627	76.000000	51.724138
628	76.000000	55.862069
629	76.000000	60.000000
630	76.000000	64.137931
631	76.000000	68.275862
632	76.000000	72.413793
633	76.000000	76.551724
634	76.000000	80.689655
635	76.000000	84.827586
636	76.000000	88.965517
637	76.000000	93.103448
638	76.000000	97.241379
639	76.000000	101.379310
640	76.000000	105.517241
641	76.000000	109.655172
642	76.000000	113.793103
643	76.000000	117.931034
644	76.000000	122.068966
645	76.000000	126.206897
646	76.000000	130.344828
647	76.000000	134.482759
648	76.000000	138.620690
649	76.000000	142.758621
650	76.000000	146.896552
651	76.000000	151.034483
652	76.000000	155.172414
653	76.000000	159.310345
654	76.000000	163.448276
655	76.000000	167.586207
656	76.000000	171.724138
657	76.000000	175.862069
658	75.000000	-178.064516
659	75.000000	-174.193548
660	75.000000	-170.322581
661	75.000000	-166.451613
662	75.000000	-162.580645
663	75.000000	-158.709677
664	75.000000	-154.838710
665	75.000000	-150.967742
666	75.000000	-147.096774
667	75.000000	-143.225806
668	75.000000	-139.354839
669	75.000000	-135.483871
670	75.000000	-131.612903
671	75.000000	-127.741935
672	75.000000	-123.870968
673	75.000000	-120.000000
674	75.000000	-116.129032
675	75.000000	-112.258065
676	75.000000	-108.387097
677	75.000000	-104.516129
678	75.000000	-100.645161
679	75.000000	-96.774194
680	75.000000	-92.903226
681	75.000000	-89.032258
682	75.000000	-85.161290
683	75.000000	-81.290323
684	75.000000	-77.419355
685	75.000000	-73.548387
686	75.000000	-69.677419
687	75.000000	-65.806452
688	75.000000	-61.935484
689	75.000000	-58.064516
690	75.000000	-54.193548
691	75.000000	-50.322581
692	75.000000	-46.451613
693	75.000000	-42.580645
694	75.000000	-38.709677
695	75.000000	-34.838710
696	75.000000	-30.967742
697	75.000000	-27.096774
698	75.000000	-23.225806
699	75.000000	-19.354839
700	75.000000	-15.483871
701	75.000000	-11.612903
702	75.000000	-7.741935
703	75.000000	-3.870968
704	75.000000	-0.000000
705	75.000000	3.870968
706	75.000000	7.741935
707	75.000000	11.612903
708	75.000000	15.483871
709	75.000000	19.354839
710	75.000000	23.225806
711	75.000000	27.096774
712	75.000000	30.967742
713	75.000000	34.838710
714	75.000000	38.709677
715	75.000000	42.580645
716	75.000000	46.451613
717	75.000000	50.322581
718	75.000000	54.193548
719	75.000000	58.064516
720	75.000000	61.935484
721	75.000000	65.806452
722	75.000000	69.677419
723	75.000000	73.548387
724	75.000000	77.419355
725	75.000000	81.290323
726	75.000000	85.161290
727	75.000000	89.032258
728	75.000000	92.903226
729	75.000000	96.774194
730	75.000000	100.645161
731	75.000000	104.516129
732	75.000000	108.387097
733	75.000000	112.258065
734	75.000000	116.129032
735	75.000000	120.000000
736	75.000000	123.870968
737	75.000000	127.741935
738	75.000000	131.612903
739	75.000000	135.483871
740	75.000000	139.354839
741	75.000000	143.225806
742	75.000000	147.096774
743	75.000000	150.967742
744	75.000000	154.838710
745	75.000000	158.709677
746	75.000000	162.580645
747	75.000000	166.451613
748	75.000000	170.322581
749	75.000000	174.193548
750	75.000000	178.064516
751	74.000000	-180.000000
752	74.000000	-176.363636
753	74.000000	-172.727273
754	74.000000	-169.090909
755	74.000000	-165.454545
756	74.000000	-161.818182
757	74.000000	-158.181818
758	74.000000	-154.545455
759	74.000000	-150.909091
760	74.000000	-147.272727
761	74.000000	-143.636364
762	74.000000	-140.000000
763	74.000000	-136.363636
764	74.000000	-132.727273
765	74.000000	-129.090909
766	74.000000	-125.454545
767	74.000000	-121.818182
768	74.000000	-118.181818
769	74.000000	-114.545455
770	74.000000	-110.909091
771	74.000000	-107.272727
772	74.000000	-103.636364
773	74.000000	-100.000000
774	74.000000	-96.363636
775	74.000000	-92.727273
776	74.000000	-89.090909
777	74.000000	-85.454545
778	74.000000	-81.818182
779	74.000000	-78.181818
780	74.000000	-74.545455
781	74.000000	-70.909091
782	74.000000	-67.272727
783	74.000000	-63.636364
784	74.000000	-60.000000
785	74.000000	-56.363636
786	74.000000	-52.727273
787	74.000000	-49.090909
788	74.000000	-45.454545
789	74.000000	-41.818182
790	74.000000	-38.181818
791	74.000000	-34.545455
792	74.000000	-30.909091
793	74.000000	-27.272727
794	74.000000	-23.636364
795	74.000000	-20.000000
796	74.000000	-16.363636
797	74.000000	-12.727273
798	74.000000	-9.090909
799	74.000000	-5.454545
800	74.000000	-1.818182
801	74.000000	1.818182
802	74.000000	5.454545
803	74.000000	9.090909
804	74.000000	12.727273
805	74.000000	16.363636
806	74.000000	20.000000
807	74.000000	23.636364
808	74.000000	27.272727
809	74.000000	30.909091
810	74.000000	34.545455
811	74.000000	38.181818
812	74.000000	41.818182
813	74.000000	45.454545
814	74.000000	49.090909
815	74.000000	52.727273
816	74.000000	56.363636
817	74.000000	60.000000
818	74.000000	63.636364
819	74.000000	67.272727
820	74.000000	70.909091
821	74.000000	74.545455
822	74.000000	78.181818
823	74.000000	81.818182
824	74.000000	85.454545
825	74.000000	89.090909
826	74.000000	92.727273
827	74.000000	96.363636
828	74.000000	100.000000
829	74.000000	103.636364
830	74.000000	107.272727
831	74.000000	110.909091
832	74.000000	114.545455
833	74.000000	118.181818
834	74.000000	121.818182
835	74.000000	125.454545
836	74.000000	129.090909
837	74.000000	132.727273
838	74.000000	136.363636
